,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
77,Missouri,4856639,48435,46710,26057.0,26349.0,29,2012,95145,52406.0
78,Montana,821687,8100,7917,4137.0,5026.0,30,2012,16017,9163.0
79,Nebraska,1465286,12062,12558,6464.0,6878.0,31,2012,24620,13342.0
80,Nevada,2204567,23591,23158,13779.0,16144.0,32,2012,46749,29923.0
81,New Hampshire,1098030,8135,8721,4925.0,5834.0,33,2012,16856,10759.0
82,New Jersey,7196853,50601,49340,24712.0,24964.0,34,2012,99941,49676.0
83,New Mexico,1654214,15654,12972,7796.0,8550.0,35,2012,28626,16346.0
84,New York,16062969,121945,116787,50837.0,66758.0,36,2012,238732,117595.0
85,North Carolina,7840375,69417,68943,36019.0,38173.0,37,2012,138360,74192.0
86,North Dakota,569837,5857,5146,2682.0,2278.0,38,2012,11003,4960.0
87,Ohio,9351828,74250,76355,41775.0,50848.0,39,2012,150605,92623.0
88,Oklahoma,3026600,33303,31607,19490.0,18790.0,40,2012,64910,38280.0
89,Oregon,3185235,25415,25860,15992.0,19068.0,41,2012,51275,35060.0
90,Pennsylvania,10519780,75192,72439,42160.0,39299.0,42,2012,147631,81459.0
91,Rhode Island,872769,4885,4561,2912.0,4196.0,44,2012,9446,7108.0
92,South Carolina,3818052,37350,36421,18362.0,18005.0,45,2012,73771,36367.0
93,South Dakota,662015,6732,6999,3225.0,3125.0,46,2012,13731,6350.0
94,Tennessee,5216402,53883,52864,31692.0,28050.0,47,2012,106747,59742.0
95,Texas,20202653,204130,198297,100847.0,113421.0,48,2012,402427,214268.0
96,Vermont,525211,2727,2280,2098.0,2046.0,50,2012,5007,4144.0
97,Utah,2100869,30116,28994,11722.0,14935.0,49,2012,59110,26657.0
98,Virginia,6642567,61226,61522,29053.0,31142.0,51,2012,122748,60195.0
99,Washington,5576731,55258,52601,26934.0,30303.0,53,2012,107859,57237.0
100,West Virginia,1535612,13475,13209,9817.0,9807.0,54,2012,26684,19624.0
101,Wisconsin,4634334,35267,36582,19187.0,19520.0,55,2012,71849,38707.0
102,Wyoming,461254,6504,6473,2819.0,3868.0,56,2012,12977,6687.0
103,Puerto Rico,2978546,11927,12701,11096.0,15254.0,72,2012,24628,26350.0
104,Mississippi,2375554,22616,22331,10274.0,14597.0,28,2013,44947,24871.0
105,Missouri,4880485,43129,43716,21797.0,25392.0,29,2013,86845,47189.0
106,Montana,829189,7620,7581,4190.0,4247.0,30,2013,15201,8437.0
107,Nebraska,1478919,15110,13740,7406.0,7146.0,31,2013,28850,14552.0
108,Nevada,2239583,19913,20913,14669.0,10890.0,32,2013,40826,25559.0
109,New Hampshire,1103721,8371,8510,4819.0,5685.0,33,2013,16881,10504.0
110,New Jersey,7232903,51996,49760,22932.0,25951.0,34,2013,101756,48883.0
111,New Mexico,1660531,15842,15111,6096.0,9120.0,35,2013,30953,15216.0
112,New York,16147773,115691,113270,49873.0,56386.0,36,2013,228961,106259.0
113,North Carolina,7938624,74206,70030,33929.0,38538.0,37,2013,144236,72467.0
114,North Dakota,587479,7565,6961,1942.0,2271.0,38,2013,14526,4213.0
115,Ohio,9386353,72424,74772,37661.0,43443.0,39,2013,147196,81104.0
116,Oklahoma,3053500,34913,33805,17856.0,20233.0,40,2013,68718,38089.0
117,Oregon,3219159,26694,26355,14367.0,17952.0,41,2013,53049,32319.0
118,Pennsylvania,10539705,81944,78619,37547.0,38225.0,42,2013,160563,75772.0
119,Rhode Island,877192,6365,6135,3854.0,2342.0,44,2013,12500,6196.0
120,South Carolina,3872748,32491,32379,14329.0,18963.0,45,2013,64870,33292.0
121,South Dakota,668811,7788,7782,2743.0,2979.0,46,2013,15570,5722.0
122,Tennessee,5255128,47847,48203,27394.0,29893.0,47,2013,96050,57287.0
123,Texas,20547265,213461,200003,99800.0,109497.0,48,2013,413464,209297.0
124,Vermont,525951,4706,4345,1767.0,1898.0,50,2013,9051,3665.0
125,Utah,2141536,27465,27153,11883.0,9507.0,49,2013,54618,21390.0
126,Virginia,6707967,64523,59531,29717.0,29696.0,51,2013,124054,59413.0
127,Washington,5639983,55996,55998,23316.0,34027.0,53,2013,111994,57343.0
128,West Virginia,1537629,12608,12123,7406.0,9112.0,54,2013,24731,16518.0
129,Wisconsin,4661823,33951,34680,19593.0,18961.0,55,2013,68631,38554.0
130,Wyoming,464301,4142,4449,2540.0,2464.0,56,2013,8591,5004.0
131,Puerto Rico,2955172,9728,10107,6979.0,11325.0,72,2013,19835,18304.0
132,Alabama,3910998,36015,34208,23479.0,24495.0,01,2013,70223,47974.0
133,Alaska,576379,6905,5281,2601.0,2551.0,02,2013,12186,5152.0
134,Arizona,5281089,44342,43760,22794.0,24471.0,04,2013,88102,47265.0
135,Arkansas,2363879,26560,25322,14087.0,15805.0,05,2013,51882,29892.0
136,California,30732852,264847,252574,109549.0,127033.0,06,2013,517421,236582.0
137,Colorado,4224677,46168,46448,24563.0,22167.0,08,2013,92616,46730.0
138,Delaware,754812,7320,6727,2876.0,2372.0,10,2013,14047,5248.0
139,District of Columbia,550110,6237,5400,2712.0,2456.0,11,2013,11637,5168.0
140,Connecticut,2955331,20966,22101,10184.0,10622.0,09,2013,43067,20806.0
141,Florida,16226496,122919,118838,69845.0,83683.0,12,2013,241757,153528.0
142,Georgia,7916383,73141,70587,36063.0,43504.0,13,2013,143728,79567.0
143,Idaho,1255359,13325,12273,6234.0,7531.0,16,2013,25598,13765.0
144,Hawaii,1145298,12460,11480,5216.0,3618.0,15,2013,23940,8834.0
145,Illinois,10384284,81121,79330,34897.0,37090.0,17,2013,160451,71987.0
146,Indiana,5251594,49063,49320,26618.0,29166.0,18,2013,98383,55784.0
147,Iowa,2491492,19917,21268,10838.0,11239.0,19,2013,41185,22077.0
148,Kansas,2290928,24775,23211,11284.0,12598.0,20,2013,47986,23882.0
149,Kentucky,3548465,34218,34319,21426.0,22783.0,21,2013,68537,44209.0
150,Louisiana,3691400,30310,27758,15672.0,21410.0,22,2013,58068,37082.0
151,Maine,1117118,8981,9849,5845.0,5720.0,23,2013,18830,11565.0
152,Maryland,4814206,39592,38574,19721.0,22436.0,24,2013,78166,42157.0
153,Massachusetts,5549790,38079,40876,17473.0,20733.0,25,2013,78955,38206.0
154,Michigan,8059716,60653,59540,34039.0,38096.0,26,2013,120193,72135.0
155,Minnesota,4350698,38368,38370,13562.0,16101.0,27,2013,76738,29663.0
156,Alabama,3931966,36382,35000,17639.0,21358.0,01,2014,71382,38997.0
157,Alaska,579778,8966,7860,2775.0,2823.0,02,2014,16826,5598.0
158,Arizona,5381925,47133,47087,19883.0,24070.0,04,2014,94220,43953.0
159,Arkansas,2381476,22806,25070,13902.0,14187.0,05,2014,47876,28089.0
160,California,31206124,281222,270045,102669.0,113803.0,06,2014,551267,216472.0
161,Colorado,4309301,47678,45169,21128.0,22569.0,08,2014,92847,43697.0
162,Delaware,765491,6481,7733,3779.0,3518.0,10,2014,14214,7297.0
163,District of Columbia,559363,7958,7013,1520.0,2547.0,11,2014,14971,4067.0
164,Connecticut,2967896,20254,20639,10490.0,12320.0,09,2014,40893,22810.0
165,Florida,16544829,123325,116815,61235.0,81300.0,12,2014,240140,142535.0
166,Georgia,8019982,75491,76995,33632.0,46661.0,13,2014,152486,80293.0
167,Idaho,1274423,14337,14310,4710.0,9235.0,16,2014,28647,13945.0
168,Hawaii,1158752,12179,10580,4041.0,3421.0,15,2014,22759,7462.0
169,Illinois,10412161,83564,80913,35117.0,38953.0,17,2014,164477,74070.0
170,Indiana,5284811,51224,52230,25944.0,30688.0,18,2014,103454,56632.0
